Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag11074	26	AAA288N07_00498	hypothetical protein	
pelag11075	26	HIMB1321_00304	putative adenylyl-sulfate kinase	
pelag11076	26	HIMB058_00540	Putative lipid II flippase MurJ	
pelag11077	26	HIMB058_00561	Cytochrome c'	
pelag11078	26	HIMB058_00564	hypothetical protein	
pelag11079	26	HIMB058_00745	L-fuculose phosphate aldolase	
pelag11080	26	HIMB083_00300	Gamma-glutamylputrescine oxidoreductase	
pelag11081	26	HIMB083_00497	hypothetical protein	
pelag11082	25	QL1_01525	Lipoprotein-releasing system ATP-binding protein LolD	
pelag11083	25	Pelagibacter_AAA795-L23_00593	Glycine betaine transport ATP-binding protein OpuAA	
pelag11084	25	AAA280B11_00029	hypothetical protein	
pelag11085	25	AAA288N07_01001	Riboflavin transporter	
pelag11086	25	AAA280B11_00290	Ribosomal RNA small subunit methyltransferase I	
pelag11087	25	AAA280B11_00588	PGL/p-HBAD biosynthesis glycosyltransferase	
pelag11088	25	Pelagibacter_AAA795-C09_00470	putative glycosyltransferase EpsJ	
pelag11089	25	HIMB083_00423	Quaternary ammonium compound-resistance protein QacC	
pelag11090	25	AAA280P20_00149	hypothetical protein	
pelag11091	25	Pelagibacter_AAA795-L23_00894	Ammonia channel	
pelag11092	25	AAA288G21_00254	2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha	
pelag11093	25	AAA288N07_00494	Glutamine synthetase 3	
pelag11094	25	AAA288N07_00495	Amidophosphoribosyltransferase	
pelag11095	25	AAA288N07_00496	hypothetical protein	
pelag11096	25	AAA288N07_00500	hypothetical protein	
pelag11097	25	HIMB5_00937	Glycine betaine transport system permease protein OpuAB	
pelag11098	25	HIMB058_00050	sn-glycerol-3-phosphate import ATP-binding protein UgpC	
pelag11099	25	HIMB058_00566	Arylesterase	
pelag11100	25	HIMB083_00280	hypothetical protein	
pelag11101	25	HIMB083_00341	hypothetical protein	
pelag11102	25	HIMB083_00512	hypothetical protein	
pelag11103	24	AAA024N17_00040	2-hydroxy-3-oxopropionate reductase	
pelag11104	24	AAA024N17_00305	Phosphate-specific transport system accessory protein PhoU	
pelag11105	24	Pelagibacter_AAA795-A08_00078	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	
pelag11106	24	AAA280B11_00538	Sialic acid TRAP transporter permease protein SiaT	
pelag11107	24	AAA288G21_00039	Alkanal monooxygenase alpha chain	
pelag11108	24	AAA288G21_00040	hypothetical protein	
pelag11109	24	HIMB058_00880	Glutamine transport system permease protein GlnP	
pelag11110	24	HIMB058_00014	Serine-protein kinase RsbW	
pelag11111	24	HIMB058_00023	putative type II secretion system protein HxcR	
pelag11112	24	HTCC1002_01012	hypothetical protein	
pelag11113	24	Pelagibacter_AAA797-I19_00415	Aminomethyltransferase	
pelag11114	24	HIMB083_00282	hypothetical protein	
pelag11115	24	HIMB083_00359	hypothetical protein	
pelag11116	24	HIMB083_00507	putative monooxygenase	
pelag11117	24	HIMB083_01247	Cell division protein FtsL	
pelag11118	23	Pelagibacter_AAA795-M18_00094	UDP-glucose 4-epimerase	
pelag11119	23	Pelagibacter_AAA795-E07_00136	Zinc import ATP-binding protein ZnuC	
pelag11120	23	AAA280B11_00204	Single-stranded-DNA-specific exonuclease RecJ	
pelag11121	23	AAA288N07_00059	Glucose-1-phosphate thymidylyltransferase	
pelag11122	23	AAA280B11_00537	hypothetical protein	
pelag11123	23	AAA280P20_00091	Protein translocase subunit SecE	
pelag11124	23	AAA288G21_00042	NAD/NADP-dependent betaine aldehyde dehydrogenase	
pelag11125	23	AAA288G21_00041	3-oxoadipate enol-lactonase 2	
pelag11126	23	AAA288G21_00717	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	
pelag11127	23	AAA288N07_00488	Phosphoenolpyruvate carboxylase	
pelag11128	23	AAA288N07_00594	hypothetical protein	
pelag11129	23	HIMB058_00022	Putative type II secretion system protein F	
pelag11130	23	HIMB058_00024	Type IV pilus biogenesis and competence protein PilQ	
pelag11131	23	HIMB058_00027	hypothetical protein	
pelag11132	23	HIMB058_00032	Twitching mobility protein	
pelag11133	23	HIMB058_00535	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
pelag11134	23	HIMB058_00879	Cyclohexadienyl dehydratase	
pelag11135	23	HIMB058_01116	hypothetical protein	
pelag11136	23	HIMB083_00181	High-affinity zinc uptake system membrane protein ZnuB	
pelag11137	23	HIMB083_00350	hypothetical protein	
pelag11138	23	HIMB083_00446	hypothetical protein	
pelag11139	23	HIMB083_00514	hypothetical protein	
pelag11140	23	HIMB083_00841	Rubrerythrin-1	
pelag11141	22	AAA024N17_00205	50S ribosomal protein L36 2	
pelag11142	22	AAA024N17_00304	Phosphate regulon transcriptional regulatory protein PhoB	
pelag11143	22	AAA280B11_00071	Sialic acid TRAP transporter permease protein SiaT	
pelag11144	22	AAA280B11_00156	hypothetical protein	
pelag11145	22	IMCC9063_01372	Glycine betaine/L-proline transport system permease protein ProW	
pelag11146	22	AAA288G21_00923	hypothetical protein	
pelag11147	22	AAA288N07_00220	Secreted effector protein pipB2	
pelag11148	22	AAA288N07_00562	L-rhamnonate dehydratase	
pelag11149	22	HIMB058_00017	Type 4 prepilin-like proteins leader peptide-processing enzyme	
pelag11150	22	HIMB058_00319	hypothetical protein	
pelag11151	22	HIMB058_00341	Fructokinase	
pelag11152	22	HIMB058_00767	hypothetical protein	
pelag11153	22	HIMB058_00821	Trans-aconitate 2-methyltransferase	
pelag11154	22	HIMB083_00183	High-affinity zinc uptake system protein ZnuA	
pelag11155	22	HIMB083_00286	hypothetical protein	
pelag11156	22	HIMB083_00427	hypothetical protein	
pelag11157	22	HIMB083_00562	L-carnitine dehydrogenase	
pelag11158	21	AAA288N07_00548	GMP synthase [glutamine-hydrolyzing]	
pelag11159	21	AAA024N17_00166	UDP-glucose 4-epimerase	
pelag11160	21	AAA024N17_00306	Phosphate import ATP-binding protein PstB	
pelag11161	21	AAA280B11_00162	hypothetical protein	
pelag11162	21	Pelagibacter_AAA795-F16_00799	hypothetical protein	
pelag11163	21	AAA280P20_00750	Alkaline phosphatase synthesis sensor protein PhoR	
pelag11164	21	Pelagibacter_AAA795-C10_00337	Dimethylsulfonioproprionate demethylase DmdA	
pelag11165	21	AAA288G21_00367	hypothetical protein	
pelag11166	21	AAA288G21_00914	hypothetical protein	
pelag11167	21	AAA288N07_00394	hypothetical protein	
pelag11168	21	AAA288N07_00798	DNA-damage-inducible protein F	
pelag11169	21	HIMB058_00015	Putative anti-sigma factor antagonist	
pelag11170	21	HTCC1002_00878	Fimbrial protein	
pelag11171	21	HIMB058_00052	Glycerol kinase	
pelag11172	21	HIMB058_00216	Putative SOS response-associated peptidase YedK	
pelag11173	21	HIMB058_00720	Phosphate transport system permease protein PstC	
pelag11174	21	HIMB083_00474	hypothetical protein	
pelag11175	21	HIMB083_01335	Low specificity L-threonine aldolase	
pelag11176	21	HIMB122_00595	hypothetical protein	
pelag11177	20	HTCC1013_01264	Ammonium transporter NrgA	
pelag11178	20	AAA024N17_00110	ATP-dependent RNA helicase CshA	
pelag11179	20	AAA024N17_00163	UDP-N-acetyl-D-glucosamine 6-dehydrogenase	
pelag11180	20	Pelagibacter_AAA795-E22_00645	Multidrug resistance protein EbrA	
pelag11181	20	AAA280B11_00651	Phosphoheptose isomerase	
pelag11182	20	AAA280P20_00485	Phosphate transport system permease protein PstA	
pelag11183	20	Pelagibacter_AAA795-A20_00956	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	
pelag11184	20	AAA288G21_00366	hypothetical protein	
pelag11185	20	AAA288G21_00368	hypothetical protein	
pelag11186	20	AAA288G21_00532	hypothetical protein	
pelag11187	20	HIMB083_00417	hypothetical protein	
pelag11188	20	HIMB083_00422	hypothetical protein	
pelag11189	20	HIMB083_00698	Asparagine synthetase [glutamine-hydrolyzing] 1	
pelag11190	20	HIMB083_01345	Ectoine dioxygenase	
pelag11191	20	HIMB122_00607	hypothetical protein	
pelag11192	19	HTCC7214_00097	Lipoprotein NlpI	
pelag11193	19	Pelagibacter_AAA795-N17_00605	Glucose-1-phosphate cytidylyltransferase	
pelag11194	19	HIMB4_00370	hypothetical protein	
pelag11195	19	Pelagibacter_AAA795-N17_00144	Acetyl-coenzyme A synthetase	
pelag11196	19	AAA280B11_00419	hypothetical protein	
pelag11197	19	Pelagibacter_AAA795-C10_00069	Ectoine hydrolase	
pelag11198	19	AAA288G21_00651	hypothetical protein	
pelag11199	19	AAA288G21_00772	hypothetical protein	
pelag11200	19	HIMB1321_00330	Glycine betaine/L-proline transport system permease protein ProW	
pelag11201	19	HIMB058_00003	hypothetical protein	
pelag11202	19	HIMB122_00989	Glycine betaine-binding periplasmic protein	
pelag11203	19	HIMB058_00721	Phosphate-binding protein PstS	
pelag11204	19	HIMB058_01114	hypothetical protein	
pelag11205	19	HIMB083_00426	hypothetical protein	
pelag11206	19	HIMB083_00429	Gamma-butyrobetaine dioxygenase	
pelag11207	19	HIMB083_00470	Folate-biopterin transporter	
pelag11208	19	HIMB083_00939	hypothetical protein	
pelag11209	19	HIMB114_00346	hypothetical protein	
pelag11210	18	HTCC9022_00472	Type IV pilus biogenesis factor PilY1	
pelag11211	18	AAA280B11_00296	UDP-glucose:protein N-beta-glucosyltransferase	
pelag11212	18	AAA280B11_00596	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	
pelag11213	18	AAA280P20_00265	hypothetical protein	
pelag11214	18	AAA280P20_00389	hypothetical protein	
pelag11215	18	Pelagibacter_AAA795-K18_00122	D-xylose 1-dehydrogenase	
pelag11216	18	AAA288G21_00070	hypothetical protein	
pelag11217	18	AAA288G21_00071	hypothetical protein	
pelag11218	18	AAA288G21_00256	hypothetical protein	
pelag11219	18	AAA288G21_00818	Nicotinate dehydrogenase FAD-subunit	
pelag11220	18	HIMB058_00689	D-malate dehydrogenase [decarboxylating]	
pelag11221	18	HIMB083_00123	hypothetical protein	
pelag11222	18	HIMB083_01469	hypothetical protein	
pelag11223	18	HIMB122_01416	hypothetical protein	
pelag11224	17	AAA280B11_00403	putative sulfoacetate transporter SauU	
pelag11225	17	AAA288G21_00326	hypothetical protein	
pelag11226	17	Pelagibacter_AAA795-O20_00208	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	
pelag11227	17	HIMB122_00664	Ubiquinone biosynthesis O-methyltransferase	
pelag11228	17	AAA288G21_00751	Glucose--fructose oxidoreductase	
pelag11229	17	HIMB058_00224	hypothetical protein	
pelag11230	17	HIMB083_00556	Glycine betaine-binding periplasmic protein	
pelag11231	17	HIMB083_00480	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag11232	17	HIMB114_01027	hypothetical protein	
pelag11233	17	HIMB114_01301	hypothetical protein	
pelag11234	16	AAA288G21_00857	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	
pelag11235	16	Pelagibacter_AAA795-G15_00299	CDP-glucose 4,6-dehydratase	
pelag11236	16	AAA280B11_00073	2,3-diketo-L-gulonate-binding periplasmic protein YiaO	
pelag11237	16	AAA280B11_00166	Riboflavin transporter	
pelag11238	16	AAA280B11_00406	Aquaporin Z	
pelag11239	16	AAA280B11_00418	Aldehyde reductase YahK	
pelag11240	16	AAA280P20_00264	hypothetical protein	
pelag11241	16	Pelagibacter_AAA795-E07_00563	Acetaldehyde dehydrogenase 2	
pelag11242	16	AAA280P20_00569	hypothetical protein	
pelag11243	16	AAA288G21_00692	dTDP-4-dehydrorhamnose reductase	
pelag11244	16	AAA288G21_00738	Aspartate aminotransferase	
pelag11245	16	Pelagibacter_AAA797-I19_00682	hypothetical protein	
pelag11246	16	HIMB058_00338	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase	
pelag11247	16	HIMB083_00420	hypothetical protein	
pelag11248	16	HIMB083_00526	hypothetical protein	
pelag11249	16	HTCC1002_00170	hypothetical protein	
pelag11250	16	HTCC7211_01266	hypothetical protein	
pelag11251	15	AAA024N17_00004	2-hydroxychromene-2-carboxylate isomerase	
pelag11252	15	Pelagibacter_AAA795-M18_00059	Putative 2-hydroxyacid dehydrogenase	
pelag11253	15	AAA280B11_00414	dTDP-4-oxo-6-deoxy-D-allose reductase	
pelag11254	15	Pelagibacter_AAA795-G15_00246	dTDP-4-dehydrorhamnose reductase	
pelag11255	15	AAA024N17_00238	Alpha-monoglucosyldiacylglycerol synthase	
pelag11256	15	AAA024N17_00299	Catalase-peroxidase	
pelag11257	15	HIMB4_00323	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	
pelag11258	15	Pelagibacter_AAA795-A20_00654	Glutathione import ATP-binding protein GsiA	
pelag11259	15	AAA288G21_00255	putative peptidase	
pelag11260	15	AAA288G21_00282	hypothetical protein	
pelag11261	15	AAA288G21_00340	Inner membrane protein YqjF	
pelag11262	15	AAA288N07_00103	Deacetoxycephalosporin C synthase	
pelag11263	15	AAA288N07_00529	hypothetical protein	
pelag11264	15	Pelagibacter_AAA795-E22_00669	4-methylaminobutanoate oxidase (formaldehyde-forming)	
pelag11265	15	HIMB058_00215	Alpha-ketoglutarate-dependent taurine dioxygenase	
pelag11266	15	HIMB058_00449	Inosose dehydratase	
pelag11267	15	HIMB083_00348	hypothetical protein	
pelag11268	15	HIMB083_00433	L-arabinolactonase	
pelag11269	15	HIMB083_01124	putative HTH-type transcriptional regulator YybR	
pelag11270	15	HIMB1321_00880	hypothetical protein	
pelag11271	14	Pelagibacter_AAA795-O19_00002	2-(hydroxymethyl)glutarate dehydrogenase	
pelag11272	14	AAA024N17_00074	tRNA-specific adenosine deaminase	
pelag11273	14	AAA280B11_00080	hypothetical protein	
pelag11274	14	AAA280B11_00082	Acetyl-CoA:oxalate CoA-transferase	
pelag11275	14	Pelagibacter_AAA795-C10_00328	Ribokinase	
pelag11276	14	AAA280B11_00602	hypothetical protein	
pelag11277	14	AAA280B11_00645	Ferredoxin fas2	
pelag11278	14	AAA280B11_00646	1-deoxy-D-xylulose-5-phosphate synthase	
pelag11279	14	AAA280B11_00648	Bifunctional protein HldE	
pelag11280	14	AAA288G21_00370	Modification methylase HhaI	
pelag11281	14	Pelagibacter_AAA795-A08_00337	Riboflavin transporter	
pelag11282	14	Pelagibacter_AAA795-K18_00501	L-arabonate dehydratase	
pelag11283	14	AAA288G21_00660	hypothetical protein	
pelag11284	14	AAA288G21_00670	hypothetical protein	
pelag11285	14	Pelagibacter_AAA795-E22_00532	Inositol 2-dehydrogenase	
pelag11286	14	AAA288N07_00074	putative xanthine dehydrogenase subunit A	
pelag11287	14	Pelagibacter_AAA795-C10_00232	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	
pelag11288	14	Pelagibacter_AAA795-C10_00233	hypothetical protein	
pelag11289	14	HIMB058_00007	hypothetical protein	
pelag11290	14	Pelagibacter_AAA795-B16_00284	Phosphoserine phosphatase RsbU	
pelag11291	14	HIMB058_00048	Trehalose transport system permease protein SugA	
pelag11292	14	HIMB058_00051	hypothetical protein	
pelag11293	14	HIMB058_00443	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	
pelag11294	14	HIMB083_00555	Gamma-butyrobetaine dioxygenase	
pelag11295	14	HIMB083_01206	Phosphoserine phosphatase RsbU	
pelag11296	14	HIMB122_00433	Cytochrome c6	
pelag11297	14	HIMB122_01405	Gamma-glutamylputrescine oxidoreductase	
pelag11298	14	HIMB122_01509	Inner membrane protein YqaA	
pelag11299	14	Pelagibacter_AAA795-M18_00306	Fimbrial protein	
pelag11300	14	HIMB5_00955	Ferredoxin-dependent glutamate synthase 2	
pelag11301	14	HTCC1002_00861	hypothetical protein	
pelag11302	13	AAA280P20_00559	2-keto-3-deoxy-L-fuconate dehydrogenase	
pelag11303	13	AAA024N17_00212	putative inner membrane transporter YedA	
pelag11304	13	AAA280B11_00081	Sialic acid-binding periplasmic protein SiaP	
pelag11305	13	AAA280B11_00402	hypothetical protein	
pelag11306	13	AAA280B11_00407	Glutaredoxin arsenate reductase	
pelag11307	13	AAA288G21_00493	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	
pelag11308	13	AAA280B11_00640	23S rRNA (guanine(745)-N(1))-methyltransferase	
pelag11309	13	AAA280B11_00720	hypothetical protein	
pelag11310	13	Pelagibacter_AAA795-C10_00147	Inner membrane ABC transporter permease protein YcjP	
pelag11311	13	AAA288G21_00678	Cytochrome c6	
pelag11312	13	AAA288G21_00711	hypothetical protein	
pelag11313	13	HIMB114_00857	2-O-methyltransferase NoeI	
pelag11314	13	AAA288N07_00076	putative xanthine dehydrogenase subunit A	
pelag11315	13	HIMB114_00645	Fimbrial protein	
pelag11316	13	HIMB058_00047	Trehalose transport system permease protein SugB	
pelag11317	13	HIMB122_00374	hypothetical protein	
pelag11318	13	HIMB058_00445	Galactose/methyl galactoside import ATP-binding protein MglA	
pelag11319	13	HIMB058_00446	Xylose transport system permease protein XylH	
pelag11320	13	HIMB1321_01319	L-arabinose transport system permease protein AraP	
pelag11321	13	HIMB083_00605	Dipeptide transport system permease protein DppC	
pelag11322	13	HIMB083_00606	Glutathione transport system permease protein GsiC	
pelag11323	13	HIMB083_00607	Periplasmic murein peptide-binding protein	
pelag11324	13	HIMB083_00825	hypothetical protein	
pelag11325	13	HIMB083_00974	Acetoin catabolism regulatory protein	
pelag11326	13	HIMB083_01470	hypothetical protein	
pelag11327	13	HTCC9022_00480	hypothetical protein	
pelag11328	13	HIMB1321_00191	hypothetical protein	
pelag11329	13	HTCC1002_00858	hypothetical protein	
pelag11330	13	HTCC1002_00859	hypothetical protein	
pelag11331	13	HTCC1002_00870	hypothetical protein	
pelag11332	13	HTCC1002_00871	hypothetical protein	
pelag11333	12	AAA288G21_00488	GMP reductase	
pelag11334	12	AAA280B11_00140	hypothetical protein	
pelag11335	12	AAA280B11_00442	Undecaprenyl-phosphate mannosyltransferase	
pelag11336	12	AAA280P20_00359	Glycogen synthase	
pelag11337	12	AAA288G21_00342	hypothetical protein	
pelag11338	12	AAA288G21_00556	hypothetical protein	
pelag11339	12	HIMB058_01119	hypothetical protein	
pelag11340	12	AAA288G21_00773	Glucose--fructose oxidoreductase	
pelag11341	12	AAA288G21_00915	hypothetical protein	
pelag11342	12	AAA288N07_00073	Nicotine blue oxidoreductase	
pelag11343	12	Pelagibacter_AAA795-O19_00703	hypothetical protein	
pelag11344	12	AAA288N07_00570	Peptidoglycan deacetylase	
pelag11345	12	AAA288N07_00571	allantoicase	
pelag11346	12	AAA288N07_00572	Ureidoglycolate lyase	
pelag11347	12	AAA288N07_00706	hypothetical protein	
pelag11348	12	AAA288N07_00759	putative glycosyltransferase EpsJ	
pelag11349	12	AAA288N07_01006	5-hydroxyisourate hydrolase	
pelag11350	12	HIMB058_00036	Holliday junction ATP-dependent DNA helicase RuvB	
pelag11351	12	HIMB058_00038	Protein-glutamine gamma-glutamyltransferase	
pelag11352	12	HIMB058_00046	hypothetical protein	
pelag11353	12	HTCC1002_00157	L-arabinose transport system permease protein AraQ	
pelag11354	12	HIMB058_00447	D-ribose-binding periplasmic protein	
pelag11355	12	HIMB058_00998	hypothetical protein	
pelag11356	12	HIMB083_00349	hypothetical protein	
pelag11357	12	HIMB083_00445	2-hydroxy-3-oxopropionate reductase	
pelag11358	12	HIMB083_01186	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	
pelag11359	12	HIMB083_01205	hypothetical protein	
pelag11360	12	HIMB083_01240	hypothetical protein	
pelag11361	12	HIMB083_01290	hypothetical protein	
pelag11362	12	HIMB1321_00751	Aldehyde dehydrogenase PuuC	
pelag11363	12	HIMB122_01143	hypothetical protein	
pelag11364	12	HIMB1321_00752	Soluble epoxide hydrolase	
pelag11365	11	IMCC9063_00211	hypothetical protein	
pelag11366	11	Pelagibacter_AAA795-A08_00063	Sialic acid-binding periplasmic protein SiaP	
pelag11367	11	AAA280B11_00188	hypothetical protein	
pelag11368	11	AAA280B11_00546	High-affinity branched-chain amino acid transport system permease protein LivH	
pelag11369	11	HTCC7214_00648	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase	
pelag11370	11	AAA288G21_00258	Decarboxylase NovR	
pelag11371	11	AAA288G21_00260	hypothetical protein	
pelag11372	11	AAA288G21_00699	D-glycero-alpha-D-manno-heptose 7-phosphate kinase	
pelag11373	11	Pelagibacter_AAA795-C09_00118	1,5-anhydro-D-fructose reductase	
pelag11374	11	AAA288G21_00899	2-O-methyltransferase NoeI	
pelag11375	11	AAA288N07_00077	6-hydroxypseudooxynicotine dehydrogenase complex subunit alpha	
pelag11376	11	AAA288N07_00080	hypothetical protein	
pelag11377	11	AAA288N07_00332	hypothetical protein	
pelag11378	11	AAA288N07_00561	4-hydroxythreonine-4-phosphate dehydrogenase 2	
pelag11379	11	AAA288N07_00883	Bifunctional protein GlmU	
pelag11380	11	AAA288N07_01039	hypothetical protein	
pelag11381	11	HIMB5_00819	Fimbrial protein	
pelag11382	11	HIMB058_00037	hypothetical protein	
pelag11383	11	HTCC1016_00702	Lactose transport system permease protein LacF	
pelag11384	11	HIMB083_00551	putative amino-acid metabolite efflux pump	
pelag11385	11	HIMB1321_00923	hypothetical protein	
pelag11386	11	HIMB083_01204	hypothetical protein	
pelag11387	11	HIMB083_01289	hypothetical protein	
pelag11388	11	HIMB114_00214	Oxalate decarboxylase OxdD	
pelag11389	11	HIMB122_01440	hypothetical protein	
pelag11390	10	Pelagibacter_AAA795-B16_00268	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	
pelag11391	10	Pelagibacter_AAA795-A20_00613	Oxygen-dependent choline dehydrogenase	
pelag11392	10	HIMB083_01220	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	
pelag11393	10	AAA280B11_00446	hypothetical protein	
pelag11394	10	AAA280B11_00534	Peptide methionine sulfoxide reductase MsrA 2	
pelag11395	10	AAA280B11_00547	hypothetical protein	
pelag11396	10	AAA280B11_00764	hypothetical protein	
pelag11397	10	AAA280P20_00342	Acetolactate synthase large subunit	
pelag11398	10	AAA280P20_00460	hypothetical protein	
pelag11399	10	AAA288G21_00332	O-acetyltransferase OatA	
pelag11400	10	AAA288G21_00374	Mycothiol S-conjugate amidase	
pelag11401	10	HTCC7214_00621	dTDP-4-dehydrorhamnose reductase	
pelag11402	10	HIMB1321_00277	Carbon monoxide dehydrogenase large chain	
pelag11403	10	AAA288G21_00877	hypothetical protein	
pelag11404	10	AAA288N07_00559	hypothetical protein	
pelag11405	10	AAA288N07_00560	hypothetical protein	
pelag11406	10	HIMB058_00172	hypothetical protein	
pelag11407	10	HIMB058_00438	Hyaluronan synthase	
pelag11408	10	HIMB083_00184	Ectoine dioxygenase	
pelag11409	10	HIMB083_01435	hypothetical protein	
pelag11410	10	HTCC1040_01368	hypothetical protein	
pelag11411	10	HIMB114_00772	hypothetical protein	
pelag11412	10	HIMB114_00918	Putative acetyltransferase EpsM	
pelag11413	10	HIMB122_01071	hypothetical protein	
pelag11414	10	HIMB140_00418	Bicarbonate transporter BicA	
pelag11415	10	HIMB5_00275	hypothetical protein	
pelag11416	10	HTCC1002_00886	hypothetical protein	
pelag11417	10	HTCC9022_00502	hypothetical protein	
pelag11418	9	HTCC1002_01406	hypothetical protein	
pelag11419	9	Pelagibacter_AAA795-M18_00436	Fimbrial protein	
pelag11420	9	AAA280P20_00116	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	
pelag11421	9	AAA024N17_00111	hypothetical protein	
pelag11422	9	HIMB1321_01035	dTDP-glucose 4,6-dehydratase	
pelag11423	9	AAA280B11_00070	Short-chain-enoyl-CoA hydratase	
pelag11424	9	AAA280B11_00078	hypothetical protein	
pelag11425	9	AAA280B11_00109	PqqC-like protein	
pelag11426	9	AAA280B11_00276	Alkyl hydroperoxide reductase subunit C	
pelag11427	9	Pelagibacter_AAA795-M18_00054	L-threonine 3-dehydrogenase	
pelag11428	9	AAA280B11_00545	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	
pelag11429	9	AAA280B11_00723	hypothetical protein	
pelag11430	9	AAA280P20_00097	hypothetical protein	
pelag11431	9	AAA280P20_00192	hypothetical protein	
pelag11432	9	AAA280P20_00220	hypothetical protein	
pelag11433	9	AAA280P20_00258	Extracellular serine protease	
pelag11434	9	HIMB4_00353	UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)	
pelag11435	9	AAA280P20_00459	Glycosyltransferase Gtf1	
pelag11436	9	Pelagibacter_AAA795-C09_00303	Putative L-lactate dehydrogenase	
pelag11437	9	AAA288G21_00259	L-carnitine dehydrogenase	
pelag11438	9	AAA288G21_00610	hypothetical protein	
pelag11439	9	AAA288G21_00771	Rhamnosyltransferase WbbL	
pelag11440	9	AAA288G21_00819	putative xanthine dehydrogenase subunit D	
pelag11441	9	AAA288G21_00849	hypothetical protein	
pelag11442	9	AAA288N07_00333	8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase	
pelag11443	9	Pelagibacter_AAA795-A20_00287	D-galactarate dehydratase	
pelag11444	9	AAA288N07_00885	hypothetical protein	
pelag11445	9	HIMB058_00028	hypothetical protein	
pelag11446	9	HIMB058_00029	hypothetical protein	
pelag11447	9	HIMB058_00030	hypothetical protein	
pelag11448	9	HIMB058_00031	hypothetical protein	
pelag11449	9	HIMB058_00039	hypothetical protein	
pelag11450	9	HIMB058_00202	hypothetical protein	
pelag11451	9	HIMB058_00517	hypothetical protein	
pelag11452	9	HTCC7211_01210	S-(hydroxymethyl)glutathione dehydrogenase	
pelag11453	9	HIMB083_00363	Aldose 1-epimerase	
pelag11454	9	HIMB083_00383	hypothetical protein	
pelag11455	9	HIMB083_00405	hypothetical protein	
pelag11456	9	HIMB083_00419	hypothetical protein	
pelag11457	9	HIMB083_00444	hypothetical protein	
pelag11458	9	HIMB083_01193	hypothetical protein	
pelag11459	9	HIMB083_01196	Autolysin	
pelag11460	9	HIMB083_01283	hypothetical protein	
pelag11461	9	HIMB114_01330	hypothetical protein	
pelag11462	9	HIMB114_01351	hypothetical protein	
pelag11463	9	HIMB122_00775	hypothetical protein	
pelag11464	9	HIMB122_01002	Thiosulfate sulfurtransferase GlpE	
pelag11465	9	HIMB1321_00292	hypothetical protein	
pelag11466	9	HIMB1321_00739	hypothetical protein	
pelag11467	9	HTCC7211_00762	hypothetical protein	
pelag11468	9	HIMB4_00330	hypothetical protein	
pelag11469	9	HIMB5_00414	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	
pelag11470	9	HTCC1002_00232	Ferredoxin--NADP reductase	
pelag11471	9	HTCC1002_00964	hypothetical protein	
pelag11472	9	HTCC7211_01007	hypothetical protein	
pelag11473	9	HTCC7211_01444	hypothetical protein	
pelag11474	9	HTCC7211_01460	hypothetical protein	
pelag11475	8	Pelagibacter_AAA795-A20_00283	hypothetical protein	
pelag11476	8	Pelagibacter_AAA795-A20_00284	Lactate-binding periplasmic protein	
pelag11477	8	Pelagibacter_AAA795-A20_00285	Hydroxypyruvate reductase	
pelag11478	8	AAA024N17_00199	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase	
pelag11479	8	AAA024N17_00233	Divalent-cation tolerance protein CutA	
pelag11480	8	AAA024N17_00298	Serine-pyruvate aminotransferase	
pelag11481	8	AAA024N17_00339	hypothetical protein	
pelag11482	8	AAA280B11_00068	hypothetical protein	
pelag11483	8	AAA280B11_00091	2-oxoglutaramate amidase	
pelag11484	8	AAA280B11_00123	Exodeoxyribonuclease 7 small subunit	
